domain_name,scope,scope_value,model_name,n,r2,adj_r2,coef_intercept,coef_ri_100_z,coef_harshness_proxy_z,coef_seat_response_proxy_z,coef_ri_x_harshness,coef_ri_x_seat_response
structure_intrusion_score,overall,all,ri_only,395.0,0.003796142442903938,0.0012612725763464505,0.16194008282750189,-0.05194243393441157,,,,
structure_intrusion_score,overall,all,ri_plus_proxies,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,,
structure_intrusion_score,overall,all,ri_plus_interactions,395.0,0.04827342323675521,0.03604043381820454,0.10409742837075833,-0.05722312503978792,0.07139832602415613,0.15122812164117003,0.10124047163485766,-0.08152342461959812
lower_extremity_score,overall,all,ri_only,396.0,0.004274285730662908,0.0017470631056138997,0.30529243858507493,-0.05606101204797948,,,,
lower_extremity_score,overall,all,ri_plus_proxies,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,,
lower_extremity_score,overall,all,ri_plus_interactions,396.0,0.09659704577115713,0.08501495661437708,0.20085557997361933,-0.040823800103089225,0.1660305641266096,0.22112400397691429,-0.03480928870234962,0.1746474030789821
restraint_kinematics_score,overall,all,ri_only,367.0,0.0030572777496993275,0.0003259278257259357,0.06551856638426617,-0.04617764886159893,,,,
restraint_kinematics_score,overall,all,ri_plus_proxies,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,,
restraint_kinematics_score,overall,all,ri_plus_interactions,367.0,0.03284118760154864,0.01944563618328754,0.050960470634616464,-0.06687290224493489,0.013558322485932185,0.06286002945558514,0.20319322748860244,-0.29445582489424477
head_neck_chest_score,overall,all,ri_only,397.0,0.00015202002952363625,-0.0023792406792622067,0.22667525200888183,0.008019054046255778,,,,
head_neck_chest_score,overall,all,ri_plus_proxies,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,,
head_neck_chest_score,overall,all,ri_plus_interactions,397.0,0.031869553555549435,0.019489368818408126,0.18891437626616195,0.013428662556138227,0.09488114531891058,0.038991316255824374,0.06326551235177989,-0.19963014525693543
