scope,scope_value,model_name,n,r2,adj_r2,coef_intercept,coef_ri_100_z,coef_harshness_proxy_z,coef_seat_response_proxy_z,coef_ri_x_harshness,coef_ri_x_seat_response,pearson_r
test_side,driver,ri_only,345.0,0.0011450726204835782,-0.0017670408704189011,0.21627600703038977,-0.018911020410056312,,,,,
test_side,driver,ri_plus_proxies,345.0,0.07730905389088272,0.0691915382359638,0.14802697785298002,-0.010033091067679856,0.09606368139050475,0.13023658272369165,,,
test_side,driver,ri_plus_interactions,345.0,0.07805155959259447,0.06445349999956484,0.14667632034306458,-0.015187679261320058,0.09830074854737383,0.1375762649471127,0.014226905399234505,0.05390070722670516,
test_side,passenger,ri_only,52.0,0.0029730822574935978,-0.016967456097356504,0.3754054866398245,0.07675954495164124,,,,,
test_side,passenger,ri_plus_proxies,52.0,0.2763872056163572,0.23116140596737955,0.3688039385426181,0.29008629805322145,0.1966732278843885,0.7789851145368887,,,
test_side,passenger,ri_plus_interactions,52.0,0.288951935034207,0.21166410188575124,0.38287783994214314,0.07305681162637388,0.2069882293298902,0.7995855886118831,0.09178004402795785,-1.6394644612414377,
era,2001-2014,ri_only,150.0,0.010172675385484276,0.0034846529218726108,0.44443281130869655,-0.03972704975818507,,,,,
era,2001-2014,ri_plus_proxies,150.0,0.045881230483652224,0.026276050288110864,0.3938880313064949,-0.034354975267537655,0.05353499744747337,0.07831263898704671,,,
era,2001-2014,ri_plus_interactions,150.0,0.04745021532601845,0.01437557002483858,0.39208143626607184,-0.03981083074426444,0.05592079135566267,0.08721469680068994,0.016844609929689117,0.0560521502087204,
era,2015-2017,ri_only,131.0,0.031448365784454424,0.023940213581233216,0.1751684984198031,-0.7205490074414013,,,,,
era,2015-2017,ri_plus_proxies,131.0,0.2609576479485982,0.2434999545930533,0.07206947164044408,-0.33878063882286374,0.13834792458798528,0.3548585736032738,,,
era,2015-2017,ri_plus_interactions,131.0,0.2823360227129498,0.25362946362146777,0.06316652667681588,-0.09951595170274075,0.1240226762190714,0.32905040638312216,-0.3506200399832189,-0.520948144030637,
era,2018-2026,ri_only,116.0,0.00688120253466884,-0.0018303658641498632,0.07758780828157659,0.12449996780715891,,,,,
era,2018-2026,ri_plus_proxies,116.0,0.1279325244593198,0.10457357422162306,0.02833625425513664,0.23596630699304688,0.1461924846286542,-0.07159703167233705,,,
era,2018-2026,ri_plus_interactions,116.0,0.13968032797616092,0.10057488833871364,0.03219567596587167,0.3374737839905114,0.10290711723375129,-0.08169343895056429,-0.18034112056179516,-0.14352484067035495,
working_mode_label,mode_0,ri_only,391.0,0.010603280012364547,0.008059843714195769,0.22785042623793833,-0.2505848135003981,,,,,
working_mode_label,mode_0,ri_plus_proxies,391.0,0.08314975888532783,0.07604239267513668,0.1690139498249455,-0.1176566839600067,0.11053203850486523,0.1206034720238181,,,
working_mode_label,mode_0,ri_plus_interactions,391.0,0.08546137745567783,0.07358425248756972,0.1715702655913884,-0.05749302567416964,0.09670329107899583,0.09864698918509769,-0.08077066643208067,-0.16549780458360727,
working_mode_label,mode_1,ri_only,6.0,,,,,,,,,
working_mode_label,mode_1,ri_plus_proxies,6.0,,,,,,,,,
working_mode_label,mode_1,ri_plus_interactions,6.0,,,,,,,,,
harshness_proxy_z_band,high,ri_only,99.0,0.003122173728806077,-0.007154917263680449,0.4359011542188637,-0.031212333439179434,,,,,-0.05587641478124651
harshness_proxy_z_band,low,ri_only,100.0,0.007626024291370603,-0.0025002407668806015,0.10054424307885054,-0.047351015632228786,,,,,-0.08732711086123625
harshness_proxy_z_band,mid,ri_only,198.0,0.0014034389344044218,-0.003691441479195534,0.20755211502550816,0.023396127082774786,,,,,0.037462500375764804
seat_response_proxy_z_band,high,ri_only,99.0,0.004477827727655148,-0.0057852874504102925,0.5921011373396214,-0.04465947671897214,,,,,-0.06691657289233396
seat_response_proxy_z_band,low,ri_only,101.0,0.06275967985117348,0.05329260591027618,0.02755381790245746,-0.6018786467295324,,,,,-0.25051882135115827
seat_response_proxy_z_band,mid,ri_only,197.0,7.268958029460482e-05,-0.005055142780832078,0.15499972390291358,-0.0034455456567000367,,,,,-0.008525818453062115
