field_name,non_null_count,coverage_ratio
intrusion_max_resultant_cm,329,0.7966101694915254
intrusion_footrest_resultant_cm,328,0.7941888619854721
intrusion_left_toepan_resultant_cm,323,0.7820823244552058
intrusion_brake_pedal_resultant_cm,323,0.7820823244552058
leg_foot_index_left,408,0.9878934624697336
leg_foot_index_right,408,0.9878934624697336
foot_resultant_accel_left_g,351,0.8498789346246973
foot_resultant_accel_right_g,351,0.8498789346246973
restraint_event_count,387,0.937046004842615
pretensioner_time_ms,3,0.007263922518159807
airbag_first_contact_time_ms,304,0.7360774818401937
airbag_full_inflation_time_ms,354,0.8571428571428571
head_hic15,406,0.9830508474576272
chest_rib_compression_mm,403,0.9757869249394673
chest_viscous_criteria_ms,408,0.9878934624697336
neck_tension_extension_nij,224,0.5423728813559322
thigh_hip_risk_proxy,344,0.8329297820823245
dummy_clearance_head_to_roof_mm,390,0.9443099273607748
dummy_clearance_knee_to_dash_left_mm,326,0.7893462469733656
dummy_clearance_knee_to_dash_right_mm,321,0.7772397094430993
dummy_clearance_min_mm,392,0.9491525423728814
